match,comp,alliance,team1,team2,team3,score,totalPoints,autoPoints,autoInitLinePoints,initLineRobot1,initLineRobot2,initLineRobot3,autoCellPoints,autoCellsBottom,autoCellsInner,autoCellsOuter,teleopPoints,teleopCellPoints,teleopCellsBottom,teleopCellsOuter,teleopCellsInner,controlPanelPoints,stage1Activated,stage2Activated,stage3Activated,endgamePoints,endgameRobot1,endgameRobot2,endgameRobot3,endgameRungIsLevel,foulPoints,foulCount,techFoulCount,adjustPoints
1,qm,red,2122,4068,6968,85,85,36,10,Exited,None,Exited,26,0,3,2,49,39,0,5,12,0,1,0,0,10,Park,Park,None,NotLevel,0,0,1,0
1,qm,blue,3374,1339,4348,188,188,37,15,Exited,Exited,Exited,22,0,3,1,136,71,0,5,28,0,1,0,0,65,Hang,Hang,None,IsLevel,15,0,0,0
2,qm,red,4550,5461,7906,50,50,5,5,None,Exited,None,0,0,0,0,30,0,0,0,0,0,0,0,0,30,None,Park,Hang,NotLevel,15,1,1,0
2,qm,blue,701,4293,2594,101,101,22,10,Exited,Exited,None,12,0,0,3,61,31,0,3,11,0,1,0,0,30,Hang,None,Park,NotLevel,18,0,1,0
3,qm,red,3239,2993,5933,45,45,20,10,None,Exited,Exited,10,0,1,1,19,9,0,1,3,0,0,0,0,10,Park,Park,None,IsLevel,6,1,0,0
3,qm,blue,7426,5493,2972,38,38,17,5,None,None,Exited,12,0,0,3,18,8,0,0,4,0,0,0,0,10,Park,Park,None,NotLevel,3,2,0,0
4,qm,red,662,1410,1569,146,146,47,15,Exited,Exited,Exited,32,0,2,5,99,34,14,0,10,0,1,0,0,65,None,Hang,Hang,IsLevel,0,0,3,0
4,qm,blue,8,3405,5871,138,138,10,10,Exited,None,Exited,0,0,0,0,83,38,0,2,16,0,1,0,0,45,Hang,Park,None,IsLevel,45,0,0,0
5,qm,red,3230,6411,4598,118,118,23,15,Exited,Exited,Exited,8,0,0,2,35,25,0,1,11,0,1,0,0,10,None,Park,Park,IsLevel,60,1,0,0
5,qm,blue,670,7895,7909,13,13,5,5,None,Exited,None,0,0,0,0,5,0,0,0,0,0,0,0,0,5,None,Park,None,IsLevel,3,0,4,0
6,qm,red,7634,3216,3225,83,83,9,5,None,Exited,None,4,0,0,1,59,24,0,4,6,0,1,0,0,35,Hang,Park,Park,NotLevel,15,1,1,0
6,qm,blue,1868,3243,1891,88,88,16,10,None,Exited,Exited,6,0,1,0,54,19,5,0,7,0,1,0,0,35,Park,Hang,Park,NotLevel,18,0,1,0
7,qm,red,8174,4643,7151,5,5,5,5,Exited,None,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None,None,IsLevel,0,1,0,0
7,qm,blue,7905,3200,3245,32,32,10,10,None,Exited,Exited,0,0,0,0,19,9,0,1,3,0,0,0,0,10,None,Park,Park,IsLevel,3,0,0,0
8,qm,red,2083,4386,7436,24,24,10,10,None,Exited,Exited,0,0,0,0,14,4,0,0,2,0,0,0,0,10,None,Park,Park,IsLevel,0,0,0,0
8,qm,blue,4585,159,7243,44,44,16,10,None,Exited,Exited,6,3,0,0,28,18,0,2,6,0,1,0,0,10,None,Park,Park,IsLevel,0,0,0,0
9,qm,red,3289,5071,3006,67,67,15,15,Exited,Exited,Exited,0,0,0,0,46,16,12,0,2,0,1,0,0,30,Park,None,Hang,NotLevel,6,0,0,0
9,qm,blue,668,6844,3648,59,59,31,15,Exited,Exited,Exited,16,4,0,2,28,23,17,0,3,0,1,0,0,5,None,None,Park,IsLevel,0,2,0,0
10,qm,red,1410,7426,4293,130,130,49,15,Exited,Exited,Exited,34,0,1,7,78,28,0,0,14,0,1,0,0,50,Hang,Hang,None,NotLevel,3,0,1,0
10,qm,blue,6411,4068,662,107,107,37,15,Exited,Exited,Exited,22,1,0,5,55,45,13,0,16,0,1,0,0,10,Park,None,Park,IsLevel,15,1,0,0
11,qm,red,2993,5871,7909,59,59,20,10,Exited,Exited,None,10,0,1,1,39,4,0,0,2,0,0,0,0,35,Hang,Park,Park,NotLevel,0,1,1,0
11,qm,blue,5933,7906,1891,111,111,22,10,Exited,Exited,None,12,0,0,3,71,6,0,0,3,0,0,0,0,65,Hang,Hang,None,IsLevel,18,0,0,0
12,qm,red,8174,3405,1339,89,89,24,10,Exited,None,Exited,14,0,1,2,65,30,0,2,12,0,1,0,0,35,Park,Park,Hang,NotLevel,0,1,0,0
12,qm,blue,7634,7151,3243,26,26,10,10,Exited,None,Exited,0,0,0,0,13,8,4,0,2,0,0,0,0,5,None,None,Park,NotLevel,3,0,0,0
13,qm,red,2083,3230,2122,76,76,34,10,None,Exited,Exited,24,0,2,3,42,32,0,4,10,0,1,0,0,10,None,Park,Park,NotLevel,0,0,0,0
13,qm,blue,1569,3225,4386,68,68,10,10,Exited,None,Exited,0,0,0,0,58,23,1,0,11,0,1,0,0,35,Hang,Park,Park,NotLevel,0,0,0,0
14,qm,red,3289,701,7243,90,90,25,15,Exited,Exited,Exited,10,3,0,1,50,20,9,1,4,0,1,0,0,30,Hang,Park,None,NotLevel,15,0,0,0
14,qm,blue,3006,3245,2972,45,45,15,15,Exited,Exited,Exited,0,0,0,0,30,0,0,0,0,0,0,0,0,30,Hang,Park,None,NotLevel,0,0,1,0
15,qm,red,5071,3200,5461,40,40,31,15,Exited,Exited,Exited,16,0,0,4,9,4,0,0,2,0,0,0,0,5,None,Park,None,IsLevel,0,0,0,0
15,qm,blue,7436,8,4348,107,107,31,15,Exited,Exited,Exited,16,0,0,4,76,46,0,2,20,0,1,0,0,30,Park,Hang,None,NotLevel,0,0,0,0
16,qm,red,3648,4550,7905,99,99,16,10,Exited,None,Exited,6,0,1,0,68,28,0,2,11,0,1,0,0,40,Hang,None,None,IsLevel,15,1,0,0
16,qm,blue,159,7895,668,51,51,21,15,Exited,Exited,Exited,6,3,0,0,27,17,7,0,5,0,1,0,0,10,Park,Park,None,IsLevel,3,0,1,0
17,qm,red,3216,670,3239,105,105,21,15,Exited,Exited,Exited,6,0,1,0,84,14,0,0,7,0,0,0,0,70,Hang,Hang,Park,IsLevel,0,0,0,0
17,qm,blue,4585,6968,6844,28,28,10,10,None,Exited,Exited,0,0,0,0,18,8,0,0,4,0,0,0,0,10,Park,Park,None,NotLevel,0,0,0,0
18,qm,red,5493,1868,4643,73,73,20,10,None,Exited,Exited,10,0,1,1,50,20,4,4,2,0,1,0,0,30,Park,Hang,None,NotLevel,3,0,1,0
18,qm,blue,4598,3374,2594,125,125,39,15,Exited,Exited,Exited,24,0,0,6,71,41,0,7,10,0,1,0,0,30,None,Hang,Park,NotLevel,15,1,0,0
19,qm,red,1891,1339,4386,60,60,15,15,Exited,Exited,Exited,0,0,0,0,45,0,0,0,0,0,0,0,0,45,Park,Hang,None,IsLevel,0,0,0,0
19,qm,blue,2972,701,6411,48,48,23,15,Exited,Exited,Exited,8,0,0,2,25,10,0,2,2,0,0,0,0,15,Park,Park,Park,NotLevel,0,0,0,0
20,qm,red,2122,7436,8174,101,101,45,15,Exited,Exited,Exited,30,0,3,3,56,26,0,2,10,0,1,0,0,30,Hang,Park,None,NotLevel,0,0,0,0
20,qm,blue,5933,3289,4068,130,130,43,15,Exited,Exited,Exited,28,0,0,7,87,17,5,0,6,0,1,0,0,70,Park,Hang,Hang,IsLevel,0,0,0,0
21,qm,red,5871,4348,3245,50,50,15,15,Exited,Exited,Exited,0,0,0,0,5,0,0,0,0,0,0,0,0,5,None,None,Park,IsLevel,30,0,0,0
21,qm,blue,7634,4550,2993,68,68,34,10,Exited,None,Exited,24,0,2,3,34,4,0,0,2,0,0,0,0,30,Hang,None,Park,NotLevel,0,0,2,0
22,qm,red,668,1569,6968,66,66,29,15,Exited,Exited,Exited,14,3,0,2,22,12,8,0,2,0,1,0,0,10,None,Park,Park,IsLevel,15,0,0,0
22,qm,blue,4293,7909,6844,107,107,30,10,Exited,None,Exited,20,0,0,5,77,32,0,4,10,0,1,0,0,45,Hang,None,Park,IsLevel,0,0,1,0
23,qm,red,2594,7151,7426,81,81,22,10,Exited,None,Exited,12,0,0,3,56,26,0,6,4,0,1,0,0,30,Park,None,Hang,NotLevel,3,0,0,0
23,qm,blue,670,8,3006,76,76,18,10,Exited,Exited,None,8,0,0,2,58,28,0,2,11,0,1,0,0,30,None,Hang,Park,NotLevel,0,1,0,0
24,qm,red,3648,7895,4585,32,32,27,15,Exited,Exited,Exited,12,0,0,3,5,0,0,0,0,0,0,0,0,5,Park,None,None,NotLevel,0,0,5,0
24,qm,blue,3405,7243,1868,166,166,32,10,None,Exited,Exited,22,3,0,4,59,9,0,3,0,0,1,0,0,50,Hang,None,Hang,NotLevel,75,0,0,0
25,qm,red,662,3230,3243,114,114,24,10,Exited,Exited,None,14,3,0,2,60,10,10,0,0,0,1,0,0,50,None,Hang,Hang,NotLevel,30,0,0,0
25,qm,blue,5461,4643,2083,23,23,10,10,Exited,Exited,None,0,0,0,0,13,3,0,1,0,0,0,0,0,10,Park,Park,None,IsLevel,0,0,2,0
26,qm,red,1410,3374,3225,152,152,34,10,Exited,Exited,None,24,0,0,6,112,47,0,5,16,0,1,0,0,65,Hang,Hang,None,IsLevel,6,0,0,0
26,qm,blue,4598,3239,3200,54,54,37,15,Exited,Exited,Exited,22,0,1,4,17,2,0,0,1,0,0,0,0,15,Park,Park,Park,NotLevel,0,2,0,0
27,qm,red,7905,7906,159,83,83,27,15,Exited,Exited,Exited,12,0,0,3,56,6,0,0,3,0,0,0,0,50,Park,Hang,Park,IsLevel,0,0,0,0
27,qm,blue,5071,5493,3216,60,60,15,15,Exited,Exited,Exited,0,0,0,0,45,10,5,1,1,0,0,0,0,35,Park,Park,Hang,NotLevel,0,0,0,0
28,qm,red,701,8,4068,197,197,43,15,Exited,Exited,Exited,28,0,0,7,106,41,0,1,19,0,1,0,0,65,None,Hang,Hang,IsLevel,48,0,0,0
28,qm,blue,3289,2993,668,53,53,25,15,Exited,Exited,Exited,10,1,0,2,28,18,18,0,0,0,1,0,0,10,Park,Park,None,NotLevel,0,1,3,0
29,qm,red,4348,4550,1868,71,71,27,15,Exited,Exited,Exited,12,0,0,3,44,4,0,0,2,0,0,0,0,40,None,None,Hang,IsLevel,0,0,0,0
29,qm,blue,3405,6411,5933,67,67,14,10,None,Exited,Exited,4,0,0,1,53,18,0,0,9,0,1,0,0,35,Park,Park,Hang,NotLevel,0,0,0,0
30,qm,red,7151,3245,6844,52,52,14,10,None,Exited,Exited,4,0,0,1,23,18,0,0,9,0,1,0,0,5,None,Park,None,IsLevel,15,0,0,0
30,qm,blue,2083,5871,7895,24,24,10,10,None,Exited,Exited,0,0,0,0,14,4,4,0,0,0,0,0,0,10,Park,Park,None,IsLevel,0,0,1,0
31,qm,red,6968,3006,7634,48,48,14,10,Exited,Exited,None,4,0,0,1,34,4,0,0,2,0,0,0,0,30,None,Park,Hang,NotLevel,0,1,0,0
31,qm,blue,2972,4598,662,59,59,27,15,Exited,Exited,Exited,12,0,0,3,29,14,10,0,2,0,1,0,0,15,Park,Park,Park,NotLevel,3,0,0,0
